Name,Session Date,Session2,Facilitator,Grade Level Band,Content Focus,Campus Name,"The format, layout, and supports embedded in the session made it easy to understand.",The session provided me with valuable information. ,The session was engaging and interactive. ,I feel confident about my ability to apply the knowledge from this session. ,"Based on today's learning, I am ready to teach summer school.",List at least one key learning from today's session and how it will support instruction during summer school.,Additional Comments:,Last modified time
Participant 1064,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Elementary ,Mathematics,Campus P,5,5,5,5,5,Using the resources that are available in the Summer school curriculum source.,,
Participant 1186,6/9/2025,Teacher  Summer School G1 and G2 Curriculum,Andi,Elementary ,ELAR/English,Campus P,5,5,5,5,5,About Amira and Zearn,None,
Participant 1167,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Aisha,Middle ,ELAR/English,Campus G,4,4,5,4,5,Ensure that student progress is being tracked through the various resources provided.,N/A,
Participant 1082,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Middle ,ELAR/English,Campus N,5,5,5,5,5,Amira,,
Participant 1196,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Middle ,ELAR/English,Campus N,5,5,5,5,5,"Learning how to Navigate Boost. This tool will help strengthen their  literacy skills through engaging, level text that would build their confidence. ",,
Participant 1117,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Middle ,Social Studies,Campus N,5,5,5,5,5,Amira is a useful tool to encourage students to read out loud.,Thank you,
Participant 1287,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus V,5,5,5,5,5,I learned how to access slide decks,,
Participant 1295,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Crystal,High,Science,Campus V,3,3,3,3,3,Implementation of the curriculum ,None,
Participant 1234,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Science,Campus V,5,5,5,5,5,There are additional learning resources available if they are needed,,
Participant 1242,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Social Studies,Campus V,5,5,5,5,5,DOLs,,
Participant 1251,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus V,5,5,5,5,5,I learned how to navigate the Summer School Curriculum,,
Participant 1255,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Social Studies,Campus V,5,5,5,5,5,The Weekly Summary,na,
Participant 1258,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Social Studies,Campus V,4,4,4,4,4,How to access the summer school curriculum. ,Good Job!,
Participant 1270,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Social Studies,Campus V,4,4,4,4,4,Using canva to facilitate learning,,
Participant 1281,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Social Studies,Campus V,5,5,5,5,5,Curriculum structure ,,
Participant 1284,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Summer School,Campus V,5,5,5,5,5,Intervention,none,
Participant 1142,6/9/2025,Teacher  Summer School G1 and G2 Curriculum,Andi,Elementary ,Mathematics,Campus P,5,5,5,5,5,Zearn,,
Participant 1184,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Elementary ,Mathematics,Campus P,5,5,5,5,5,N/A,,
Participant 1067,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Brian,Middle ,Mathematics,Campus N,5,5,5,5,5,Data tracking ,,
Participant 1088,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Middle ,Social Studies,Campus N,5,5,5,5,5,the Canvas Course,N/A,
Participant 1248,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Sped,Campus W,4,4,4,4,4,The process in Canvas.,,
Participant 1269,6/9/2025,Teacher  Summer School G1 and G2 Curriculum,Juan,High,summer school,Campus W,5,5,5,5,5,ins and outs of summer school,,
Participant 1192,6/9/2025,Teacher  Summer School G1 and G2 Curriculum,Andi,Elementary ,Art of Thinking,Campus R,5,5,5,4,4,Understanding Amira,......,
Participant 1292,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Middle ,Learning Coach,Campus N,4,5,5,5,5,Support and student activities ,,
Participant 1039,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Elementary ,ELAR/English,Campus R,4,5,4,4,4,Amira enrichment and 1416,,
Participant 1077,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Elementary ,Science,Campus R,5,5,5,5,5,Document ,,
Participant 1034,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Elementary ,Social Studies,Campus R,4,4,4,4,4,Amira ,,
Participant 1055,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Elementary ,Mathematics,Campus R,5,5,5,5,5,Implementing Zearn during summer school ,,
Participant 1118,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Elementary ,Mathematics,Campus R,5,5,5,5,5,Zearn,,
Participant 1130,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Chelly,Elementary ,Reading Success,Campus R,4,5,5,3,4,How to track students progress ,Very helpful! ,
Participant 1173,6/9/2025,Teacher  Summer School G1 and G2 Curriculum,Andi,Elementary ,ELAR/English,Campus R,5,5,5,5,5,looking at tower alerts during Zearn,,
Participant 1214,6/9/2025,Teacher  Summer School G1 and G2 Curriculum,Andi,Elementary ,Science,Campus R,5,5,5,5,5,Tower power alerts on ZEARN ,,
Participant 1206,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Aisha,Middle ,ELAR/English,Campus N,5,5,5,5,5,Engaging students with Amplify,thank you,
Participant 1257,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Sped Co-Teacher,Campus W,5,5,5,5,5,Slide decks are readily available on day one so teachers are ready to support their students learning. ,,
Participant 1213,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus X,4,5,5,5,5,Resources available ,,
Participant 1219,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus X,5,5,5,5,5,Getting the summer curriculum ,,
Participant 1228,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Social Studies,Campus X,4,4,4,4,4,Where to find the curriculum guide and how to use it to help me lesson plan. ,,
Participant 1231,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Art of Thinking,Campus X,5,5,5,5,5,How to work canva ,,
Participant 1264,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus X,5,5,5,5,5,Padlet and attendance of content ppl who can assist,,
Participant 1273,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Science,Campus X,5,5,5,3,3,Going through the summer school curriculum was extremely helpful.  Last year at my campus I taught OnRamps exclusively and was not aware of all or the resource provided by the District,"I think there will be some ""hiccups"" for me as I get used to how to present the materials and using OnTrack but I'm excited about learning and using the platform",
Participant 1200,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Social Studies,Campus X,4,4,4,4,4,Only LSAE courses is ELA and Math,,
Participant 1163,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Middle ,Special Education Co-Teacher ,Campus Q,4,4,4,4,4,One thing i learned is how interventions will be implemented into the daily schedule ,None ,
Participant 1136,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Middle ,Science,Campus Q,5,5,5,5,5,Student intervention hours must be tracked; this will help to monitor the student's learning. ,,
Participant 1073,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Middle ,Mathematics,Campus Q,5,5,5,5,5,"A key learning from today's lesson understanding the structure of the summer school program, zearn incent",I am thankful and grateful for the clarity of teaching summer and the expectations.,
Participant 1209,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus X,5,5,5,5,5,Overview,,
Participant 1045,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Elementary ,Read/Write,Campus L,4,4,4,4,4,"I learned about the use of the Lsae model, Amira as a resource, and grading Dol",N/a,
Participant 1080,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Elementary ,Science,Campus L,5,5,5,5,5,Guide course,,
Participant 1119,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Elementary ,Physical Education ,Campus L,4,4,4,4,5,Zearn and Amira ,,
Participant 1260,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Social Studies,Campus X,5,5,5,4,4,"This will be my first time teaching summer school under NES, I am optimistic about the level of support that will assist in instructution.",,
Participant 1078,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Elementary ,Self Contained,Campus J,5,5,5,5,5,N/A,,
Participant 1092,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Elementary ,self contained,Campus J,5,5,5,5,5,Zearn Tower of Power reports and Amira tech,,
Participant 1126,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Elementary ,ELAR/English,Campus J,3,3,3,2,3,Amira,The presentation was too fast for me.,
Participant 1144,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Elementary ,Science,Campus J,5,5,5,5,5,NA,NA,
Participant 1172,6/9/2025,Teacher  Summer School G1 and G2 Curriculum,Andi,Elementary ,Mathematics,Campus J,5,5,5,5,5,How to use Amira,,
Participant 1058,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Middle ,Mathematics,Campus Q,3,3,3,3,3,None,,
Participant 1097,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Middle ,Mathematics,Campus Q,4,4,4,4,4,zern,,
Participant 1185,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Aisha,Middle ,Visual arts,Campus Q,4,5,5,4,5,Meeting students where they're at and helping them have ownership in in controlling the learning Gap,,
Participant 1066,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Brian,Middle ,Mathematics,Campus Q,5,5,5,5,5,Using Zearn,,
Participant 1272,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus Y,1,1,1,1,1,Teaching to the DOL ,,
Participant 1128,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Elementary ,Mathematics,Campus I,5,4,4,5,4,"It is very similar to the regular school year, including LSAE, Zearn and Amira",,
Participant 1240,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus Y,5,5,5,5,5,The LSAE and DOL ,,
Participant 1263,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus Y,4,4,4,4,4,I loved that we can use other digital resources to differentiate learning.,,
Participant 1054,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Elementary ,Mathematics,Campus I,4,4,4,4,4,Curriculum resources and basic schedule for summer school,None,
Participant 1134,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Elementary ,Social Studies,Campus F,5,5,5,5,5,Scaffolding in zearn,,
Participant 1160,6/9/2025,Teacher  Summer School G1 and G2 Curriculum,Andi,Elementary ,All Subjects,Campus F,5,5,5,5,5,I learned that Zearn has a Tower of Power to track student misunderstandings and difficulty.,This was a quick and easy training!,
Participant 1164,6/9/2025,Teacher  Summer School G1 and G2 Curriculum,Andi,Elementary ,all subjects,Campus F,5,5,5,5,5,How to know if student needs more help in Zearn,thank you,
Participant 1201,6/9/2025,Teacher  Summer School G1 and G2 Curriculum,Andi,Elementary ,Reading Success,Campus E,5,5,5,5,5,About Amira and the  green micro ,,
