Name,Session Date,Session2,Facilitator,Grade Level Band,Content Focus,Campus Name,"The format, layout, and supports embedded in the session made it easy to understand.",The session provided me with valuable information. ,The session was engaging and interactive. ,I feel confident about my ability to apply the knowledge from this session. ,"Based on today's learning, I am ready to teach summer school.",List at least one key learning from today's session and how it will support instruction during summer school.,Additional Comments:,Last modified time
Participant 247,5/26/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Social Studies,Campus B,4,4,4,4,4,Dealing with Amira ,,
Participant 154,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Yaya,Elementary ,Mathematics,Campus A,5,5,5,5,5,How to access and navigate summer school curriculum documents on Canvas,,
Participant 30,5/27/2025,Summer School Training for Teachers of PreK ,Gabi,Elementary ,summer school,Campus B,5,5,5,5,5,"Respect the time for each activity, use fun materials, and use the Math Academy app.",,
Participant 255,5/27/2025,Summer School Training for Teachers of PreK ,Randy,Elementary ,Reading Success,Campus B,5,5,5,5,5,ALL the subjects to teach on time very well organized ,,
Participant 163,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Middle ,SPED,Campus D,5,5,5,5,5,Digital learning during enrichment ,,
Participant 46,5/27/2025,Summer School Training for Teachers of PreK ,Susana,Elementary ,ECH pre-k Summer School,Campus C,5,5,5,5,5,Small group,,
Participant 216,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Elementary ,Mathematics,Campus C,5,5,5,5,5,Interventions,Pacing of the lesson,
Participant 541,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Elementary ,Mathematics,Campus C,5,5,5,5,5,Pacing of the Lesson,.,
Participant 145,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Elementary ,General overview of summer school,Campus C,4,4,4,4,4,Zearn progress reports will help monitor student growth and identify areas of needs.,,
Participant 206,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Elementary ,Mathematics,Campus C,4,4,3,5,4,They documents will be provided. ,NA,
Participant 7,5/27/2025,Teacher  Summer School GK Curriculum  ,Dana,Elementary ,Self-contained,Campus C,5,5,5,5,5,accessing the curricula,thank you for everything!,
Participant 26,5/27/2025,Summer School Training for Teachers of PreK ,Susana,Elementary ,Other,Campus C,4,4,4,4,4,Available resources to assist in teaching skills.,N/A,
Participant 47,5/27/2025,Summer School Training for Teachers of PreK ,Susana,Elementary ,Summer school,Campus C,5,5,5,5,5,Understanding the curriculum ,N/a,
Participant 111,5/27/2025,Summer School Training for Teachers of PreK ,Gabi,Elementary ,Summer school,Campus C,5,5,5,5,5,Learning how long each subject is and school times,No,
Participant 201,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Elementary ,Mathematics,Campus C,5,5,5,5,5,I totally enjoyed the information about Zearn,None,
Participant 258,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Elementary ,Mathematics,Campus C,4,4,4,5,5,Curriculum ,,
Participant 92,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Middle ,ELAR/English,Campus D,5,5,4,4,4,Using Boost to teach interactive reading!,,
Participant 140,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Robert,Middle ,TA,Campus D,5,5,5,5,5,Amira,,
Participant 69,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus H,4,4,4,4,4,Lsae differentiation ,,
Participant 170,5/27/2025,Summer School Training for Teachers of PreK ,Robert,Elementary ,Mathematics,Campus C,4,3,3,3,3,How to navigate the summer curricula,N/A,
Participant 166,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Elementary ,Art of Thinking,Campus D,4,4,4,4,4,Amira,,
Participant 278,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Elementary ,Art of Thinking,Campus D,4,4,3,4,4,Logging into clever applications. Such as Amira ,,
Participant 23,5/27/2025,Summer School Training for Teachers of PreK ,Susana,Elementary ,Summer School,Campus D,5,5,5,5,5,detail scope and sequence,,
Participant 77,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Social Studies,Campus K,4,2,3,2,2,I did get to add the canvas course but the course is incomplete,,
Participant 84,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus K,5,5,5,5,5,Going through the summer curriculum in Canvas ,Great job ,
Participant 151,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Summer School Amira/Zearn,Campus D,3,3,3,3,3,Zearn and Amira reports,,
Participant 16,5/27/2025,Summer School Training for Teachers of PreK ,Susana,Elementary ,Summer School for EB,Campus D,4,5,4,4,4,Lesson planning:activities ,,
Participant 119,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Summer school,Campus D,5,5,5,5,5,The use of Amira and Zearn,,
Participant 228,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Yaya,Elementary ,Self-Contained,Campus E,5,4,4,4,4,Received a more understanding on Amira,,
Participant 165,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Summer School,Campus F,5,5,5,5,5,Access to resources,,
Participant 202,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Yaya,Middle ,Inclusion,Campus D,4,3,4,3,4,Amira has strong supports for EB students,Great team!,
Participant 211,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Yaya,Middle ,Special Education Inclusion Teacher,Campus D,5,5,5,5,5,Amira Adapting to Student Needs,,
Participant 249,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Yaya,Middle ,Science,Campus D,5,5,5,5,5,Amira,,
Participant 283,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Yaya,Middle ,Social Studies,Campus D,4,4,4,4,4,I do we do you do strategy. ,NA,
Participant 332,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Aisha,Middle ,Mathematics,Campus D,4,3,4,5,5,The boost platform ,N/a,
Participant 240,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Mathematics,Campus I,5,5,5,5,5,Amira and the summer currículum ,,
Participant 191,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Elementary ,ELAR/English,Campus I,5,5,5,5,4,One key learning from today’s session was about “Amira” and the various ways it can be used to calibrate & support ELL’s…,,
Participant 134,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Robert,Elementary ,Enrichment,Campus I,4,4,4,4,4,I learned how to use Amira from the teacher end. ,,
Participant 153,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Summer School Math & Reading Training - Zearn & Amira,Campus I,5,5,5,5,5,Zearn reports provide valuable insights for student learning.,,
Participant 237,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,"Summer school reading and math, zern, and amira",Campus I,5,5,5,5,5,I learned how to find the materials I need to assist me.,Great training ,
Participant 259,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,ELAR/English,Campus I,5,5,5,5,5,How to use the Amira resources on the tower alert.,NA,
Participant 270,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Robert,Elementary ,Mathematics,Campus I,5,4,4,5,4,Even though I don’t teach ELA it was great to learn about Amira,,
Participant 98,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Mary,Elementary ,ELAR/English,Campus I,5,5,5,5,5,Amira,,
Participant 137,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Elementary ,ELAR/English,Campus I,5,5,5,5,5,I learned a lot about Amira,Amira section was very informative ,
Participant 189,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Elementary ,Mathematics,Campus I,4,3,3,5,5,I need to change my name in OnTrack for testing ,,
Participant 213,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Elementary ,ELAR/English,Campus I,3,4,3,5,5,"Our weekly activities will be in a book, which makes for easy to find and deliver to students. ",,
Participant 12,5/27/2025,Teacher  Summer School GK Curriculum  ,Randy,Elementary ,Science of Reading,Campus J,5,5,5,5,5,"• Teachers may read questions out loud on DOL,  Students answer in paper/pencil format • DOL should inform differentiation",,
Participant 110,5/27/2025,Summer School Training for Teachers of PreK ,Claudia,Elementary ,intervention ,Campus J,4,4,4,4,4,attendance ,,
Participant 136,5/27/2025,Summer School Training for Teachers of PreK ,Gabi,Elementary ,Na,Campus J,5,3,4,4,4, ,  ,
Participant 527,5/27/2025,Summer School Training for Teachers of PreK ,Randy,Elementary ,Science of Reading,Campus L,4,4,4,4,4,Workstations,Good job,
Participant 147,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Math and Reading ,Campus M,4,4,4,4,4,amira,,
Participant 190,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Summer School reading,Campus M,4,4,4,4,4,How to find the Zearn reports.,Well done,
Participant 192,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Summer School Math and Reading,Campus M,5,5,5,5,5,Immersing in summer school content and supporting digital resources to meet student's needs. ,,
Participant 231,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Science,Campus M,5,5,5,5,5,Zrean,NA,
Participant 266,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Becky,Elementary ,Learning coach,Campus M,5,5,5,5,5,How to work the system with the kids making sure they have goals and no their progress ,,
Participant 288,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Social Studies,Campus M,4,4,4,4,4,Learning how to use zero and Amira ,,
Participant 64,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Teacher Apprentice,Campus S,5,5,5,5,5,The curriculum is provided,,
Participant 67,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Art,Campus S,5,5,5,5,5,location of curriculum and info ,,
Participant 91,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus S,3,4,4,4,5,I was able to access the curriculum overview.  This allows me to forward plan for my students.,,
Participant 105,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus S,4,4,4,4,4,How to use the summer school curriculum.,,
Participant 180,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Yaya,Elementary ,Mathematics,Campus M,4,4,4,4,4,Zearn progress,,
Participant 93,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Mary,Elementary ,ELAR/English,Campus O,5,5,5,5,5,How to utilize Amira,Great informational session! Thank you!!!,
Participant 120,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Mathematics,Campus O,5,5,5,5,5,Zearn,,
Participant 121,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Reading Success,Campus O,5,5,5,5,5,how to use the canvas,,
Participant 139,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Summer School Reading/Math,Campus O,5,5,5,5,5,Everything,,
Participant 187,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Mathematics,Campus O,5,5,5,5,5,Very interactive and great resources,,
Participant 214,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Yaya,Elementary ,Mathematics,Campus O,5,5,5,5,5,Amira format,,
Participant 279,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Elementary ,ELAR/English,Campus O,3,3,3,3,3,Being able to anticipate student misunderstanding and accurately deliver high quality instruction with the HISD Curriculum will help to create a successful summer learning opportunity for multiple types of learners at varying levels. ,,
Participant 550,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Elementary ,Mathematics,Campus O,5,5,5,5,5,High quality instruction is super important to reach all students,,
Participant 11,5/27/2025,Teacher  Summer School GK Curriculum  ,Dana,High,Social Studies,Campus V,5,5,5,5,5,Components of ESL,NA,
Participant 13,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Middle ,Mathematics,Campus D,4,4,4,4,4,Earn,,
Participant 264,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Yaya,Middle ,Art of Thinking,Campus D,5,4,5,5,4,"WHILE USING AMIRA, I LEARNED THAT I CAN SUPPORT MY EB STUDENTS BY USING THE TOOL FOR EL'S",,
Participant 146,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Elementary ,Mathematics,Campus P,5,5,5,5,5,Zearn and using the Curriculum ,,
Participant 150,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Summer school- math and ELAR- zearn and Amira ,Campus P,5,5,5,5,5,How to access summer school materials,,
Participant 19,5/27/2025,Summer School Training for Teachers of PreK ,Gabi,Elementary ,Summer School,Campus R,5,5,5,5,5,Curriculum ,,
Participant 42,5/27/2025,Summer School Training for Teachers of PreK ,Gabi,Elementary ,PreK,Campus R,5,5,5,5,4,How to locate summer school materials and expectations.,,
Participant 159,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Summer school : Amira and Zern,Campus R,4,4,4,4,5,Review all things provided ,Great information ,
Participant 248,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Summer School G1-2 Amira and zern,Campus R,4,4,4,4,4,All information ,Great information ,
Participant 200,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Middle ,Mathematics,Campus G,5,5,5,5,5,The intervention tools are top tier!,none,
Participant 204,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Josh,Middle ,Mathematics,Campus G,4,4,4,4,4,The intervention block.,It was good. ,
Participant 290,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Summer School Grade 1 and Grade 2,Campus M,2,3,2,2,2,Amira and Zearn,N/A,
Participant 85,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Middle ,ELAR/English,Campus G,5,5,5,4,4,I need to familiarize myself with the summer curriculum and Boost Reading,,
Participant 183,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Middle ,Social Studies,Campus G,4,4,5,4,5,Amira and how it will help enhance students reading ,,
Participant 198,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Robert,Middle ,Science,Campus G,5,5,5,5,5,"Schedule, Curriculum, Tools ",Excellent course. Thank you,
Participant 130,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Summer School 1st and 2nd grade,Campus O,3,3,3,3,3,The session explained how to log into summer school courses.,,
Participant 133,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Science of Reading,Campus O,5,5,5,5,5,Amira ,,
Participant 276,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Summer school reading,Campus O,3,3,3,3,3,I was taught how to find the courses.,,
Participant 547,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,ELAR/English,Campus O,3,3,3,3,5,The training showed how to connect to the summer school PowerPoint and dol.,,
Participant 6,5/27/2025,Summer School Training for Teachers of PreK ,Dana,Elementary ,Mathematics,Campus P,5,5,5,5,5,Understanding how to access C2L,This was very helpful-thank you.,
Participant 227,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Robert,Elementary ,ELAR/English,Campus P,4,4,4,4,4,The resources tab,,
Participant 68,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Josh,Middle ,SPED,Campus N,5,5,5,5,5,Summer School Curriculum ,N/A,
Participant 38,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus W,4,4,4,4,4,Lsae differentiation ,,
Participant 79,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus W,5,5,5,5,5,Informative,Ready to make a difference,
Participant 20,5/27/2025,Summer School Training for Teachers of PreK ,Gabi,Elementary ,PreK Summer School ,Campus P,5,5,5,5,5,Small groups ,None at this time.,
Participant 232,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Andi,Middle ,Social Studies,Campus N,4,4,4,4,4,I learned the tool and resources available for summer school,,
Participant 233,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Andi,Elementary ,Art of Thinking,Campus P,5,5,4,5,5,Amira ,,
Participant 257,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Elementary ,Enrichment ,Campus P,5,5,5,5,4,Just knowing how to access Zearn will benefit me because I don’t use this resource during the regular school year.,,
Participant 14,5/27/2025,Teacher  Summer School GK Curriculum  ,Dana,Elementary ,ELAR/English,Campus R,5,5,5,5,5,I will utilize the digital resource of c2l,,
Participant 260,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Middle ,.,Campus N,5,5,5,5,5,. ,,
Participant 123,5/27/2025,Summer School Training for Teachers of PreK ,Gabi,Elementary ,Summer School,Campus R,5,5,5,5,5,detail scope and sequence,,
Participant 289,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Science,Campus W,4,3,2,4,5,It's the same as the regular semester.,,
Participant 56,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Social Studies,Campus W,5,5,5,5,5,Annotation of slides ,,
Participant 66,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus W,4,4,4,4,4,Curriculum Overview ,Great training session. ,
Participant 112,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus W,5,5,5,5,5,The curriculum ,,
Participant 21,5/27/2025,Summer School Training for Teachers of PreK ,Angela,Elementary ,ELAR/English,Campus R,5,5,5,5,5,How to implement data ,Na ,
Participant 50,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Science,Campus W,5,5,5,5,5,Curriculum,,
Participant 78,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus W,5,5,5,5,5,Resource usage ,,
Participant 230,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Becky,Elementary ,"Read/Write, Math, Amira and Zearn",Campus R,4,5,4,4,5,How to use teacher resources from Amira and Zearn.,,
Participant 182,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Middle ,Science,Campus N,5,5,5,5,5,Amira is new to me and I wish we used it during the year,"I loved it, very helpful",
Participant 205,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Middle ,Social Studies,Campus N,5,5,5,5,5,Zearn report checking,,
Participant 209,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Middle ,ELAR/English,Campus N,5,5,5,5,5,Summer school Curriculum ,You guys were great!!,
Participant 195,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Middle ,ELAR/English,Campus Q,5,5,5,5,5,Curriculum course guide access is key!,,
Participant 81,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus X,5,5,5,5,5,Canvas,,
Participant 90,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Science,Campus X,5,5,5,5,5,One key learning from to today's session is knowing how to navigate the Summer School Curriculum,,
Participant 96,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Gabi,High,ELAR/English,Campus X,5,5,5,5,5,The curriculum is available in Canvas.,,
Participant 107,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus X,5,5,5,5,5,How to navigate the lesson ,,
Participant 256,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Yaya,Middle ,Mathematics,Campus Q,5,5,5,5,5,Zearn helps comprehend math and allows students to understand better.,N/A,
Participant 22,5/27/2025,Summer School Training for Teachers of PreK ,Randy,Elementary ,Pre-k Summer content,Campus L,5,5,5,5,5,curriculum summer school,,
Participant 24,5/27/2025,Summer School Training for Teachers of PreK ,Gabi,Elementary ,Summer Content,Campus L,5,5,5,5,5,"Summer Curriculum, Schedule",Excellent presentation,
Participant 179,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Robert,Elementary ,Mathematics,Campus L,5,5,5,5,5,Zearn reports to evaluate math student grow.,,
Participant 212,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Summer School Reading/Math,Campus L,5,5,5,5,5,"AMIRA, I now know how to introduce it to students and how to actively monitor student progress on ZEARN.",,
Participant 234,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Elementary ,Teacher apprentice ,Campus L,5,5,5,5,5,N/A,,
Participant 186,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Elementary ,Mathematics,Campus L,5,5,5,5,5,Zearn ,,
Participant 3,5/27/2025,Teacher  Summer School GK Curriculum  ,Randy,Elementary ,ELAR/English,Campus L,4,4,4,4,4,Attendance,,
Participant 18,5/27/2025,Summer School Training for Teachers of PreK ,Susana,Elementary ,PreK Summer School- Early Childhood,Campus L,5,5,5,5,5,Inventory List,N/A,
Participant 116,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Summer School ,Campus L,5,5,5,5,5,Amira resource ,,
Participant 193,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Summer school math and reading Amira Zearn,Campus L,4,4,4,3,4,Resources on canvas,,
Participant 273,5/27/2025,Teacher  Summer School GK Curriculum  ,Sandy,Elementary ,Reading Success,Campus L,4,4,5,5,5,"Modeling, tracking",Everything is excelent,
Participant 265,5/27/2025,Summer School Training for Teachers of PreK ,Randy,Elementary ,ELAR/English,Campus L,4,4,4,4,4,The use of the workstations,,
Participant 44,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Social Studies,Campus X,3,3,3,3,3,Finding resources ,,
Participant 48,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Science,Campus X,4,4,4,4,4,Access to Canvas Resources,,
Participant 60,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus X,5,5,5,5,5,ELA LSAE is part of our class. ,,
Participant 61,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Social Studies,Campus X,5,5,5,5,5,How to access DOLs and use them to measure student learning and success,Other facilitator is Devin Pollard. ,
Participant 65,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus X,5,4,4,5,5,Use of LSAE materials for instruction,,
Participant 86,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus X,5,5,5,5,5,Providing high quality instruction.,,
Participant 95,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Social Studies,Campus X,3,3,3,3,3,How to find resources ,,
Participant 88,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Science,Campus Y,5,5,5,5,5,Be sure to change your role to Summer School.,Well done!,
Participant 103,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Science,Campus Y,5,5,5,5,5,Ways to keep students engaged,Great present!,
Participant 117,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus Y,5,5,5,5,5,Access to the curriculum ,,
Participant 162,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Robert,Elementary ,Math & Reading,Campus J,4,4,4,4,4,The use of Amira for EB students.,n/a,
Participant 203,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Summer School- Math and reading- G1 and G2,Campus J,5,5,5,5,5,Amira,,
Participant 272,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Becky,Elementary ,Math and Reading- Summer School training- G1-G2,Campus J,5,5,5,5,5,I learned about Amira.,,
Participant 132,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Robert,Elementary ,Art of Thinking,Campus J,4,3,3,5,5,Amira ,,
Participant 164,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Elementary ,Mathematics,Campus J,4,4,4,4,4,More insight about Amira ,N/a,
Participant 181,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Elementary ,ELAR/English,Campus J,5,5,5,5,5,Amira ,,
Participant 33,5/27/2025,Summer School Training for Teachers of PreK ,Susana,Elementary ,Early Childhood summer school,Campus J,5,5,5,5,5,planning guide for summer school.,Awesome training!,
Participant 35,5/27/2025,Summer School Training for Teachers of PreK ,Gabi,Elementary ,Summer School Pre-K - All,Campus J,5,5,5,5,5,"The presenters when through the routine. I was a Pre-K teacher a few years back, so it was a good refresh.",,
Participant 1,5/27/2025,Teacher  Summer School GK Curriculum  ,Kim,Elementary ,ELAR/English,Campus J,4,3,3,3,4,ESL,,
Participant 2,5/27/2025,Teacher  Summer School GK Curriculum  ,Kim,Elementary ,Pre k k,Campus J,5,5,5,5,5,Summer school planning,Good Session,
Participant 4,5/27/2025,Teacher  Summer School GK Curriculum  ,Kim,Elementary ,General,Campus J,5,5,5,5,5,Connect to literacy,,
Participant 15,5/27/2025,Summer School Training for Teachers of PreK ,Susana,Elementary ,Early Childhood,Campus J,4,5,4,5,4,Small group instruction ,,
Participant 27,5/27/2025,Summer School Training for Teachers of PreK ,Gabi,Elementary ,Summer School,Campus J,5,5,5,5,5,Lesson Plan,,
Participant 28,5/27/2025,Summer School Training for Teachers of PreK ,Gabi,Elementary ,Early Childhood,Campus J,5,5,5,5,5,Curriculum  and resourcess,Daily Schedule,
Participant 17,5/27/2025,Summer School Training for Teachers of PreK ,Gabi,Elementary ,PK Summer Curriculum,Campus J,5,5,5,5,5,How to fill out the cumulative Learning Profile CLP ,Thank you for all the information!,
Participant 109,5/27/2025,Summer School Training for Teachers of PreK ,Gabi,Elementary ,Mathematics,Campus J,5,4,5,5,5,daily schedule,Authentic writings,
Participant 220,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Elementary ,Mathematics,Campus J,5,5,1,5,3,I love the gradual release model that will be used,,
Participant 58,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus Y,5,5,5,5,5,I learned how to maneuver the around the LSAE slides.,,
Participant 63,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Mathematics,Campus Y,4,4,4,4,5,Where to find curriculum,,
Participant 70,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus Y,4,5,4,4,5,The teacher notes on the slide decks were very helpful.,,
Participant 71,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Science,Campus Y,5,5,5,5,5,The overviews are so helpful!,,
Participant 104,5/27/2025,Teacher  Summer School G9-G12 Curriculum  ,Susana,High,Science,Campus Y,4,4,4,4,4,On track assessment ,,
Participant 142,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Robert,Middle ,Mathematics,Campus Q,5,5,5,5,5,Zearn Tower of Power,Thank you so much!! Amazing presentation and so beneficial.,
Participant 222,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Middle ,Science,Campus Q,5,5,5,5,5,Amira,,
Participant 245,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Middle ,Mathematics,Campus Q,5,5,5,5,5,Tower of Power - Zearn,Great Job,
Participant 172,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Yaya,Middle ,Mathematics,Campus T,3,2,3,4,4,curriculum is ready,,
Participant 149,5/27/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Summer School-Math and Reading,Campus I,5,5,5,5,5,How to implement Amira,,
Participant 267,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Elementary ,ELAR/English,Campus I,5,5,5,5,5,The reports in both programs to evaluate students status. ,I enjoyed the session. ,
